Age,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
,,,,,,,,,,,,,,,,,
..18 to 24 years,Male,14845,24,40,54,122,111,333,1892,4865,5268,308,434,1317,68,6,4
,,,,,,,,,,,,,,,,,
..25 to 29 years,Male,11410,13,43,77,90,113,190,439,3398,2,335,426,631,2765,706,87
..30 to 34 years,Male,10711,29,50,114,109,141,168,359,3059,1820,412,642,2492,903,190,223
..35 to 39 years,Male,10281,20,66,203,162,186,166,326,2939,1564,468,549,2335,935,121,241
..40 to 44 years,Male,9454,25,75,176,153,159,125,333,2509,1445,474,502,2134,959,154,232
..45 to 49 years,Male,10118,20,55,162,133,174,162,348,3107,1563,409,503,2155,965,142,221
..50 to 54 years,Male,10449,44,89,165,151,163,206,363,477,1550,455,546,1996,878,143,224
..55 to 59 years,Male,10587,35,50,167,134,144,195,366,3648,1656,488,552,2004,744,189,215
..60 to 64 years,Male,9154,48,77,154,105,117,153,268,2778,1597,437,451,1703,856,193,217
..65 to 69 years,Male,7907,19,68,138,142,110,134,221,2111,1255,375,375,1692,812,207,250
..70 to 74 years,Male,5759,22,55,77,180,110,133,141,1600,869,184,247,1180,606,164,191
..75 years and over,Male,8493,61,126,153,368,209,246,266,2672,1276,247,280,1450,686,175,279
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
..18 to 24 years,Female,14559,29,24,27,59,120,271,1536,3794,5721,364,654,1788,137,19,16
,,,,,,,,,,,,,,,,,
..25 to 29 years,Female,11335,5,29,37,82,110,161,323,2678,2126,492,832,3264,969,110,116
..30 to 34 years,Female,10795,22,28,94,129,157,110,261,2359,1860,481,734,2864,1294,167,235
..35 to 39 years,Female,10492,33,35,122,118,199,140,297,2213,1645,447,735,2650,1503,162,192
..40 to 44 years,Female,9819,28,43,152,145,156,128,249,2137,1444,467,696,2487,1315,171,200
..45 to 49 years,Female,10543,25,56,167,135,161,117,293,2646,1587,498,797,2456,1233,182,189
..50 to 54 years,Female,10915,36,57,142,117,148,161,298,3075,1788,565,927,2251,1058,121,170
..55 to 59 years,Female,11250,41,75,146,126,133,162,333,3477,1859,536,874,2231,971,148,137
..60 to 64 years,Female,10334,25,80,163,167,112,160,292,3114,1796,455,745,1954,1003,126,140
..65 to 69 years,Female,8843,37,79,157,146,129,139,269,2719,1550,405,500,1603,895,105,108
..70 to 74 years,Female,6702,31,83,114,130,88,145,226,2263,1082,327,330,1128,641,36,79
..75 years and over,Female,11569,98,171,252,448,231,361,547,4533,1788,361,455,1468,660,79,117
