Metric,Characteristic,Total,0-30,30-60,60-90,90-120,120-150,150-180,180+
Educational attainment of householder,Less than 9th grade,4225,2266,1138,467,179,61,54,60
Educational attainment of householder,"9th to 12th grade, no diploma",7814,4305,2045,876,300,144,72,72
Educational attainment of householder,High school graduate (includes equivalency),34525,13233,9757,5377,2995,1426,768,969
Educational attainment of householder,"Some college, no degree",22539,6666,6225,3972,2464,1367,771,1074
Educational attainment of householder,Associate degree,13617,3234,3720,2642,1663,995,556,807
Educational attainment of householder,Bachelor's degree or more,44875,5592,8875,7534,6573,4659,3604,8038
Educational attainment of householder,Bachelor's degree,27455,3786,5854,4938,4094,2859,1970,3954
Educational attainment of householder,Master's degree,13026,1370,2428,2150,1898,1358,1215,2607
Educational attainment of householder,Professional degree,1858,169,275,209,222,158,173,652
Educational attainment of householder,Doctorate degree,2540,267,320,239,361,284,246,823
